iter	Passed	Remaining
411	3381	4826
412	3389	4817
413	3395	4806
414	3402	4796
415	3410	4788
416	3422	4784
417	3429	4774
418	3435	4763
419	3443	4755
420	3449	4743
421	3455	4733
422	3462	4722
423	3468	4712
424	3474	4701
425	3481	4691
426	3488	4681
427	3496	4672
428	3511	4673
429	3519	4665
430	3526	4655
431	3534	4647
432	3541	4637
433	3550	4629
434	3559	4622
435	3567	4614
436	3575	4605
437	3583	4597
438	3590	4588
439	3597	4579
440	3605	4569
441	3612	4559
442	3619	4551
443	3630	4545
444	3638	4537
445	3646	4529
446	3653	4520
447	3660	4510
448	3668	4502
449	3677	4494
450	3684	4484
451	3692	4476
452	3700	4468
453	3707	4459
454	3714	4449
455	3721	4439
456	3731	4433
457	3737	4423
458	3745	4414
459	3751	4403
460	3759	4395
461	3765	4385
462	3772	4375
463	3778	4364
464	3788	4358
465	3796	4350
466	3802	4340
467	3813	4334
468	3820	4325
469	3827	4316
470	3836	4308
471	3843	4299
472	3849	4288
473	3856	4279
474	3864	4270
475	3871	4261
476	3879	4253
477	3885	4243
478	3893	4234
479	3900	4225
480	3912	4222
481	3920	4213
482	3929	4206
483	3937	4197
484	3944	4188
485	3952	4180
486	3959	4171
487	3966	4161
488	3974	4152
489	3981	4144
490	3987	4133
491	3995	4125
492	4002	4116
493	4011	4109
494	4020	4101
495	4029	4094
496	4036	4084
497	4042	4075
498	4049	4065
499	4054	4054
500	4062	4045
501	4067	4035
502	4074	4026
503	4083	4019
504	4092	4011
505	4100	4003
506	4110	3996
507	4117	3987
508	4124	3979
509	4130	3968
510	4136	3958
511	4144	3950
512	4151	3941
513	4157	3931
514	4164	3921
515	4171	3912
516	4180	3905
517	4188	3897
518	4195	3887
519	4201	3878
520	4211	3872
521	4220	3864
522	4229	3857
523	4236	3848
524	4244	3840
525	4251	3831
526	4259	3822
527	4267	3814
528	4275	3806
529	4284	3799
530	4294	3792
531	4301	3784
532	4309	3776
533	4318	3768
534	4328	3762
535	4335	3752
536	4342	3743
537	4349	3735
538	4357	3727
539	4364	3717
540	4370	3708
541	4377	3699
542	4383	3689
543	4391	3680
544	4402	3675
545	4409	3666
546	4417	3658
547	4424	3649
548	4431	3640
549	4439	3632
550	4446	3623
551	4453	3614
552	4460	3605
553	4471	3599
554	4479	3591
555	4488	3584
556	4497	3576
557	4504	3568
558	4512	3559
559	4519	3551
560	4525	3541
561	4532	3532
562	4538	3523
563	4545	3513
564	4551	3503
565	4556	3494
566	4564	3485
567	4571	3476
568	4577	3467
569	4584	3458
570	4591	3449
571	4599	3441
572	4605	3432
573	4613	3424
574	4621	3415
575	4629	3407
576	4638	3400
577	4645	3391
578	4652	3383
579	4658	3373
580	4665	3364
581	4671	3354
582	4679	3347
583	4687	3339
584	4695	3331
585	4703	3323
586	4710	3314
587	4718	3306
588	4726	3297
589	4735	3290
590	4743	3282
591	4749	3273
592	4757	3265
593	4764	3256
594	4771	3247
595	4777	3238
596	4785	3230
597	4790	3220
598	4798	3212
599	4806	3204
600	4814	3196
601	4822	3188
602	4829	3179
603	4838	3172
604	4845	3163
605	4852	3155
606	4860	3146
607	4866	3137
608	4873	3129
609	4883	3122
610	4891	3114
611	4899	3106
612	4908	3098
613	4917	3091
614	4924	3083
615	4931	3074
616	4939	3066
617	4947	3058
618	4954	3049
619	4962	3041
620	4968	3032
621	4974	3023
622	4984	3016
623	4992	3008
624	5002	3001
625	5008	2992
626	5017	2985
627	5025	2976
628	5033	2969
629	5043	2962
630	5052	2954
631	5061	2947
632	5069	2939
633	5079	2932
634	5088	2924
635	5096	2916
636	5105	2909
637	5113	2901
638	5122	2893
639	5130	2886
640	5137	2877
641	5142	2867
642	5149	2859
643	5155	2849
644	5162	2841
645	5170	2833
646	5180	2826
647	5189	2818
648	5197	2811
649	5203	2802
650	5210	2793
651	5217	2784
652	5223	2775
653	5230	2767
654	5237	2758
655	5244	2750
656	5251	2741
657	5258	2733
658	5265	2724
659	5271	2715
660	5278	2706
661	5284	2698
662	5291	2689
663	5298	2681
664	5305	2672
665	5313	2664
666	5320	2656
667	5327	2647
668	5334	2639
669	5341	2630
670	5347	2621
671	5357	2614
672	5363	2606
673	5371	2597
674	5378	2589
675	5386	2581
676	5396	2574
677	5403	2566
678	5410	2558
679	5417	2549
680	5424	2541
681	5431	2532
682	5437	2523
683	5444	2515
684	5452	2507
685	5457	2498
686	5465	2489
687	5471	2481
688	5479	2473
689	5485	2464
690	5493	2456
691	5501	2448
692	5508	2440
693	5516	2432
694	5525	2424
695	5534	2417
696	5543	2409
697	5549	2401
698	5556	2392
699	5564	2384
700	5570	2376
701	5580	2368
702	5588	2361
703	5596	2353
704	5604	2345
705	5611	2336
706	5618	2328
707	5626	2320
708	5632	2311
709	5640	2303
710	5647	2295
711	5653	2286
712	5662	2279
713	5671	2271
714	5679	2263
715	5689	2256
716	5699	2249
717	5706	2241
718	5715	2233
719	5724	2226
720	5731	2217
721	5738	2209
722	5745	2201
723	5752	2192
724	5758	2184
725	5765	2175
726	5774	2168
727	5787	2162
728	5795	2154
729	5805	2147
730	5813	2139
731	5825	2132
732	5835	2125
733	5842	2117
734	5851	2109
735	5857	2101
736	5867	2093
737	5873	2085
738	5885	2078
739	5894	2071
740	5901	2062
741	5908	2054
742	5917	2046
743	5924	2038
744	5933	2030
745	5941	2022
746	5948	2014
747	5956	2006
748	5963	1998
749	5971	1990
750	5980	1982
751	5987	1974
752	5993	1966
753	6001	1958
754	6010	1950
755	6018	1942
756	6026	1934
757	6035	1926
758	6043	1918
759	6051	1911
760	6060	1903
761	6069	1895
762	6076	1887
763	6084	1879
764	6094	1872
765	6102	1864
766	6109	1856
767	6118	1848
768	6125	1840
769	6133	1832
770	6141	1824
771	6148	1815
772	6154	1807
773	6160	1798
774	6168	1790
775	6175	1782
776	6182	1774
777	6190	1766
778	6198	1758
779	6205	1750
780	6213	1742
781	6221	1734
782	6230	1726
783	6236	1718
784	6242	1709
785	6251	1701
786	6257	1693
787	6264	1685
788	6270	1676
789	6278	1668
790	6285	1660
791	6293	1652
792	6301	1644
793	6309	1636
794	6316	1628
795	6324	1620
796	6331	1612
797	6337	1604
798	6344	1595
799	6350	1587
800	6356	1579
801	6365	1571
802	6371	1563
803	6379	1555
804	6387	1547
805	6396	1539
806	6404	1531
807	6413	1523
808	6419	1515
809	6426	1507
810	6433	1499
811	6440	1491
812	6448	1483
813	6455	1474
814	6462	1466
815	6469	1458
816	6477	1450
817	6484	1442
818	6492	1434
819	6499	1426
820	6506	1418
821	6513	1410
822	6520	1402
823	6527	1394
824	6533	1385
825	6540	1377
826	6547	1369
827	6554	1361
828	6561	1353
829	6568	1345
830	6578	1337
831	6588	1330
832	6596	1322
833	6603	1314
834	6611	1306
835	6619	1298
836	6626	1290
837	6633	1282
838	6639	1274
839	6646	1266
840	6655	1258
841	6661	1250
842	6670	1242
843	6679	1234
844	6686	1226
845	6693	1218
846	6701	1210
847	6708	1202
848	6715	1194
849	6722	1186
850	6729	1178
851	6737	1170
852	6743	1162
853	6750	1154
854	6757	1146
855	6767	1138
856	6774	1130
857	6782	1122
858	6790	1114
859	6798	1106
860	6807	1099
861	6818	1091
862	6826	1083
863	6834	1075
864	6843	1068
865	6849	1059
866	6857	1051
867	6868	1044
868	6877	1036
869	6885	1028
870	6894	1021
871	6902	1013
872	6909	1005
873	6918	997
874	6925	989
875	6934	981
876	6940	973
877	6948	965
878	6956	957
879	6966	949
880	6973	941
881	6981	934
882	6989	926
883	6996	918
884	7004	910
885	7012	902
886	7020	894
887	7027	886
888	7035	878
889	7043	870
890	7050	862
891	7058	854
892	7066	846
893	7072	838
894	7079	830
895	7087	822
896	7095	814
897	7103	806
898	7111	799
899	7119	791
900	7125	782
901	7132	774
902	7140	767
903	7147	758
904	7154	750
905	7161	742
906	7170	735
907	7178	727
908	7186	719
909	7194	711
910	7202	703
911	7209	695
912	7216	687
913	7223	679
914	7232	671
915	7239	663
916	7247	656
917	7255	648
918	7263	640
919	7270	632
920	7277	624
921	7286	616
922	7294	608
923	7303	600
924	7310	592
925	7317	584
926	7324	576
927	7332	568
928	7338	560
929	7346	552
930	7355	545
931	7364	537
932	7379	529
933	7385	521
934	7394	514
935	7402	506
936	7412	498
937	7420	490
938	7427	482
939	7435	474
940	7443	466
941	7452	458
942	7461	450
943	7467	442
944	7474	435
945	7482	427
946	7490	419
947	7497	411
948	7505	403
949	7513	395
950	7519	387
951	7526	379
952	7532	371
953	7542	363
954	7549	355
955	7558	347
956	7564	339
957	7571	331
958	7579	324
959	7585	316
960	7594	308
961	7603	300
962	7613	292
963	7621	284
964	7628	276
965	7636	268
966	7644	260
967	7652	252
968	7660	245
969	7668	237
970	7675	229
971	7682	221
972	7690	213
973	7699	205
974	7707	197
975	7716	189
976	7722	181
977	7729	173
978	7737	165
979	7744	158
980	7750	150
981	7758	142
982	7766	134
983	7774	126
984	7782	118
985	7790	110
986	7796	102
987	7804	94
988	7813	86
989	7820	78
990	7830	71
991	7837	63
992	7844	55
993	7853	47
994	7863	39
995	7872	31
996	7880	23
997	7889	15
998	7897	7
999	7909	0
