iter	RMSE
300	348.8543096
301	348.3107041
302	348.1356946
303	347.4583866
304	347.191209
305	346.5153421
306	346.157696
307	345.9597087
308	345.4349598
309	345.1124736
310	345.0062581
311	344.8873987
312	344.5959889
313	344.4484728
314	344.1184925
315	343.9622235
316	343.7347766
317	343.4746831
318	343.3219807
319	342.7444251
320	342.7174206
321	342.4256025
322	342.1939897
323	341.742475
324	341.6096084
325	341.0171706
326	340.7560324
327	340.494629
328	340.3502382
329	340.0144796
330	339.8242478
331	339.6120572
332	339.4478876
333	339.1741345
334	339.0704831
335	338.918495
336	338.5579111
337	338.0610221
338	337.979362
339	337.7405867
340	337.4837506
341	337.1252278
342	336.6725164
343	336.1284157
344	335.9270784
345	335.7831629
346	335.7498988
347	335.406408
348	335.1743037
349	334.8823422
350	334.7502369
351	334.4090597
352	334.2821104
353	334.1130109
354	333.8918455
355	333.6503669
356	333.2041217
357	332.9494865
358	332.751201
359	332.5868862
360	332.2833242
361	332.1550063
362	331.9960549
363	331.8646639
364	331.711912
365	331.4440296
366	331.4058224
367	331.151379
368	330.859015
369	330.8045481
370	330.6791295
371	330.2642196
372	330.1760879
373	329.9534346
374	329.6371627
375	329.5188569
376	329.1878401
377	328.8667914
378	328.65045
379	328.4224838
380	328.2700229
381	328.0328628
382	327.9430154
383	327.5115207
384	327.3125546
385	327.1556254
386	326.8449776
387	326.6357936
388	326.4783114
389	326.2152316
390	326.0469596
391	325.7473182
392	325.6188512
393	325.5740347
394	325.3472282
395	325.2149359
396	325.0560368
397	324.7534278
398	324.5008023
399	324.323704
400	324.0420455
401	323.9277731
402	323.5881761
403	323.3204314
404	323.0404042
405	322.8910447
406	322.6113774
407	322.4326914
408	322.3824249
409	322.1667134
410	321.8601219
411	321.6968744
412	321.5110968
413	321.289483
414	321.141316
415	320.7938835
416	320.6769521
417	320.3441137
418	320.1757508
419	320.0673292
420	319.9355172
421	319.7815071
422	319.5776782
423	319.2819523
424	319.1335711
425	318.9546551
426	318.7076626
427	318.4766124
428	318.432273
429	318.2755698
430	318.0410093
431	317.6842747
432	317.5375816
433	317.3159043
434	317.2449624
435	317.0962073
436	316.9522181
437	316.7761799
438	316.5738181
439	316.4161276
440	316.2572515
441	316.0452494
442	315.8063009
443	315.5668026
444	315.4218593
445	315.3852104
446	315.1980081
447	314.9626536
448	314.8268872
449	314.7025459
450	314.5847373
451	314.4429795
452	314.2157721
453	314.0633725
454	314.0298061
455	314.0113411
456	313.6403146
457	313.47479
458	313.3483292
459	313.2338147
460	312.8082927
461	312.5629028
462	312.3575214
463	312.0631204
464	311.8923137
465	311.6335337
466	311.3597836
467	311.3456168
468	311.1630024
469	310.8661763
470	310.7328538
471	310.5307339
472	310.5155284
473	310.2533841
474	310.0708304
475	309.9448917
476	309.6559496
477	309.5176102
478	309.0980853
479	309.0911029
480	308.8588097
481	308.7588432
482	308.6332954
483	308.4000546
484	308.1992943
485	308.0067399
486	307.8778264
487	307.7957471
488	307.6535765
489	307.4744358
490	307.3784979
491	306.993199
492	306.7889338
493	306.6897378
494	306.5915659
495	306.4771264
496	306.368867
497	306.2192724
498	306.1306686
499	305.9193358
500	305.812979
501	305.6972369
502	305.5319075
503	305.3491042
504	305.1979039
505	305.0290545
506	304.9867463
507	304.8575274
508	304.7044324
509	304.5431248
510	304.5263461
511	304.1949672
512	304.0836028
513	303.9581764
514	303.8438119
515	303.4756661
516	303.3860008
517	303.1223711
518	303.0165284
519	302.8430818
520	302.376398
521	302.2835897
522	302.2418399
523	302.0337095
524	301.9578997
525	301.7885255
526	301.6329661
527	301.5426456
528	301.4089535
529	301.3781007
530	301.228532
531	301.109907
532	301.0057195
533	300.7994125
534	300.6141277
535	300.3966533
536	300.3032915
537	300.0200067
538	299.9306075
539	299.7516265
540	299.5028713
541	299.222324
542	299.1382494
543	298.9979048
544	298.8485783
545	298.7861835
546	298.7786438
547	298.573347
548	298.4481529
549	298.2258638
550	297.9563548
551	297.7172605
552	297.5330593
553	297.374175
554	297.3507922
555	297.2343767
556	297.0646534
557	296.8169109
558	296.7060186
559	296.3555008
560	296.270183
561	296.1417376
562	296.0211288
563	295.9116603
564	295.8197242
565	295.5980436
566	295.4634966
567	295.3881585
568	295.2799929
569	294.9784596
570	294.7441142
571	294.4928665
572	294.310346
573	294.0576291
574	294.0325397
575	293.8165101
576	293.6099047
577	293.4929299
578	293.4785721
579	293.3036044
580	293.112299
581	293.0465458
582	292.9108366
583	292.8185332
584	292.7386789
585	292.7227717
586	292.6274585
587	292.5030648
588	292.3575267
589	292.2539578
590	292.2326705
591	292.0782692
592	292.0557971
593	291.8169475
594	291.6714713
595	291.4756718
596	291.3004423
597	291.0944245
598	291.0392119
599	290.8895327
600	290.762371
601	290.6435789
602	290.5432426
603	290.3946789
604	290.2742659
605	290.1605925
606	289.913873
607	289.8347095
608	289.7547306
609	289.6629344
610	289.5108829
611	289.3880759
612	289.2294434
613	289.0964765
614	288.9563566
615	288.8715789
616	288.7389666
617	288.7007278
618	288.558041
619	288.36538
620	288.2091045
621	288.1601105
622	288.0552997
623	287.8844415
624	287.6983323
625	287.5708976
626	287.5036584
627	287.4195422
628	287.3786442
629	287.1699252
630	287.010083
631	286.9617478
632	286.9466038
633	286.8561209
634	286.6712013
635	286.6084968
636	286.418303
637	286.3672118
638	286.224676
639	286.1265816
640	286.0867032
641	286.0426641
642	285.9461095
643	285.8212667
644	285.6806552
645	285.5373934
646	285.4688765
647	285.3355831
648	285.1756047
649	285.0525602
650	284.8780938
651	284.711838
652	284.5715318
653	284.4926177
654	284.3959858
655	284.276778
656	284.2611949
657	284.1559557
658	284.1007481
659	284.0499593
660	283.9599152
661	283.9174478
662	283.8145933
663	283.6484521
664	283.5519709
665	283.4878622
666	283.45621
667	283.3296821
668	283.2635991
669	283.1698159
670	283.0345271
671	282.9261682
672	282.8752703
673	282.731885
674	282.5316413
675	282.4972667
676	282.2375362
677	282.2239874
678	282.0701257
679	281.968911
680	281.8598415
681	281.7267513
682	281.6165084
683	281.4955814
684	281.2480828
685	281.0940481
686	280.9467123
687	280.9382554
688	280.8342112
689	280.6832958
690	280.5817302
691	280.452141
692	280.3458886
693	280.2206312
694	280.2009392
695	280.1033099
696	280.0253756
697	279.8090252
698	279.6670036
699	279.5188679
700	279.3467376
701	279.1126672
702	278.9519671
703	278.8351747
704	278.6904832
705	278.5701487
706	278.4945405
707	278.4209851
708	278.2729006
709	278.2484425
710	278.2290432
711	278.1096775
712	278.1023505
713	278.0906415
714	277.9588829
715	277.7521766
716	277.552134
717	277.475371
718	277.4011014
719	277.1527671
720	277.0455647
721	277.0094049
722	276.934299
723	276.8122897
724	276.664859
725	276.6235519
726	276.3496224
727	276.1839843
728	276.0323923
729	275.9860601
730	275.9212213
731	275.7942363
732	275.6719315
733	275.5834163
734	275.5770047
735	275.422128
736	275.2758094
737	275.1272731
738	275.0847176
739	275.0000041
740	274.9333464
741	274.7879969
742	274.634543
743	274.531312
744	274.3303676
745	274.3181712
746	274.2388505
747	274.1511961
748	274.0794848
749	273.8677855
750	273.7554635
751	273.7365017
752	273.7304774
753	273.6218785
754	273.5457869
755	273.4465139
756	273.3121625
757	273.2030285
758	273.0938196
759	273.0399332
760	272.8888076
761	272.7341886
762	272.5880981
763	272.4680397
764	272.346751
765	272.1986071
766	272.1397541
767	272.0553593
768	271.9589251
769	271.8467486
770	271.6649683
771	271.6294138
772	271.5660014
773	271.4846609
774	271.3629137
775	271.2092857
776	271.0637671
777	270.9319286
778	270.8157383
779	270.659357
780	270.5230038
781	270.3072575
782	270.2259499
783	270.1838716
784	270.0313945
785	269.9779988
786	269.8771835
787	269.7739216
788	269.6906309
789	269.5943995
790	269.4388634
791	269.3941272
792	269.2612915
793	269.1278576
794	269.1221758
795	269.0070624
796	268.7559521
797	268.6820221
798	268.6031004
799	268.5144246
800	268.5037031
801	268.3689194
802	268.2116698
803	268.0441096
804	267.8224205
805	267.5901315
806	267.5258973
807	267.4138234
808	267.3580699
809	267.2075642
810	267.1782336
811	267.1135936
812	267.0163272
813	266.9914768
814	266.9251879
815	266.7872758
816	266.6625335
817	266.6113949
818	266.4672745
819	266.3492263
820	266.1938231
821	266.1057723
822	266.0977234
823	265.9935187
824	265.9562061
825	265.8091271
826	265.7779252
827	265.6295927
828	265.5341508
829	265.4298428
830	265.3359134
831	265.2138498
832	265.1328802
833	265.0627208
834	265.0059874
835	264.9838051
836	264.8765333
837	264.8402865
838	264.7959809
839	264.7880581
840	264.7414175
841	264.6937618
842	264.5639115
843	264.4901006
844	264.4160938
845	264.306006
846	264.2375676
847	264.2129065
848	264.1136456
849	263.9479547
850	263.9294251
851	263.8738223
852	263.7669017
853	263.6872197
854	263.5932619
855	263.4164433
856	263.3624198
857	263.3347011
858	263.3159193
859	263.1623145
860	262.9833091
861	262.8911577
862	262.8292594
863	262.7957761
864	262.6481005
865	262.6079375
866	262.540315
867	262.4582617
868	262.3451431
869	262.3359246
870	262.2484327
871	262.1221417
872	262.0540029
873	262.0114122
874	261.8433916
875	261.7456426
876	261.7321738
877	261.5925806
878	261.37689
879	261.3215919
880	261.1999475
881	261.1229286
882	261.0719166
883	260.9810118
884	260.9151837
885	260.8210512
886	260.7337718
887	260.6907742
888	260.6383336
889	260.5960329
890	260.5943285
891	260.4957323
892	260.3773822
893	260.1572251
894	260.0323014
895	259.979457
896	259.8764829
897	259.7539647
898	259.631406
899	259.6155414
900	259.4913843
901	259.4117363
902	259.2553595
903	259.1237972
904	259.0576897
905	259.0262535
906	258.974055
907	258.9523979
908	258.9030169
909	258.8277171
910	258.753395
911	258.5524327
912	258.470567
913	258.3775306
914	258.3029462
915	258.1996278
916	258.1465014
917	258.033189
918	257.9602463
919	257.9170823
920	257.8400373
921	257.7812451
922	257.7532905
923	257.6763325
924	257.5426069
925	257.3471585
926	257.2742788
927	257.1545801
928	257.0756586
929	256.9947609
930	256.9092332
931	256.8333855
932	256.6265365
933	256.5587338
934	256.3984839
935	256.3319673
936	256.2230067
937	256.1050555
938	255.9602851
939	255.8737732
940	255.7782918
941	255.669213
942	255.6008078
943	255.4803092
944	255.4333616
945	255.3543303
946	255.2879675
947	255.2048546
948	255.0768229
949	254.9823958
950	254.8679029
951	254.8261174
952	254.6695282
953	254.5975251
954	254.4533857
955	254.3979794
956	254.3015143
957	254.1356148
958	253.984699
959	253.8624723
960	253.810205
961	253.8042411
962	253.7289898
963	253.6332092
964	253.5675003
965	253.4286104
966	253.353802
967	253.278945
968	253.215388
969	253.0311311
970	252.9472663
971	252.887941
972	252.7482038
973	252.6903501
974	252.5499582
975	252.5253411
976	252.4812152
977	252.3823029
978	252.2939704
979	252.143488
980	252.0306139
981	251.936815
982	251.8554668
983	251.6848196
984	251.5249378
985	251.3572848
986	251.1732801
987	250.9922407
988	250.8955988
989	250.8363167
990	250.737165
991	250.6426729
992	250.6204174
993	250.5807377
994	250.5138428
995	250.4494611
996	250.3877657
997	250.2926294
998	250.1489471
999	250.0686367
